Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
Basket,11,393.25,-25.0,0.0,368.25
Basket,8,428.0,-19.2,-46.0,362.8
Soapstone,13,359.0,0.0,0.0,359.0
Art & Sculpture,2,396.0,-39.6,0.0,356.4
Kitchen,18,360.0,-4.0,0.0,356.0
Art & Sculpture,4,360.0,-4.19,0.0,355.81
Art & Sculpture,4,360.0,-5.8,0.0,354.2
Christmas,16,352.0,0.0,0.0,352.0
Basket,2,370.0,-18.5,0.0,351.5
Art & Sculpture,1,350.0,0.0,0.0,350.0
Basket,2,350.0,0.0,0.0,350.0
Basket,2,350.0,0.0,0.0,350.0
Basket,2,350.0,0.0,0.0,350.0
Art & Sculpture,11,352.0,-3.19,0.0,348.81
Basket,7,364.0,-15.6,0.0,348.4
Basket,6,348.0,0.0,0.0,348.0
Basket,3,348.0,0.0,0.0,348.0
Basket,3,348.0,0.0,0.0,348.0
Home Decor,16,352.0,-4.4,0.0,347.6
Christmas,16,352.0,-4.4,0.0,347.6
Basket,8,344.0,0.0,0.0,344.0
Basket,9,342.0,0.0,0.0,342.0
Jewelry,11,360.0,-19.4,0.0,340.6
Basket,9,339.0,0.0,0.0,339.0
Fair Trade Gifts,16,352.0,-13.18,0.0,338.82
Art & Sculpture,6,348.0,-11.6,0.0,336.4
Basket,3,360.0,-24.0,0.0,336.0
Art & Sculpture,2,336.0,0.0,0.0,336.0
Jewelry,7,336.0,-3.15,0.0,332.85
Art & Sculpture,14,350.0,-17.2,0.0,332.8
Art & Sculpture,2,350.0,-17.5,0.0,332.5
Basket,2,350.0,-17.5,0.0,332.5
Basket,3,330.0,0.0,0.0,330.0
Basket,3,440.0,0.0,-110.0,330.0
Basket,3,330.0,0.0,0.0,330.0
Basket,2,330.0,0.0,0.0,330.0
Art & Sculpture,3,440.0,0.0,-110.0,330.0
Basket,1,365.0,-36.5,0.0,328.5
Art & Sculpture,8,336.0,-12.6,0.0,323.4
Jewelry,10,340.0,-18.6,0.0,321.4
Home Decor,5,408.0,-20.4,-68.0,319.6
Basket,3,330.0,-11.0,0.0,319.0
Basket,3,330.0,-11.0,0.0,319.0
Music,9,328.0,-12.6,0.0,315.4
Art & Sculpture,7,315.0,0.0,0.0,315.0
Basket,2,350.0,-35.0,0.0,315.0
Basket,2,350.0,-35.0,0.0,315.0
Christmas,18,324.0,-10.8,0.0,313.2
Basket,1,310.0,0.0,0.0,310.0
Art & Sculpture,3,330.0,-22.0,0.0,308.0
Basket,3,330.0,-22.0,0.0,308.0
Art & Sculpture,2,324.0,-16.2,0.0,307.8
Kitchen,13,312.0,-4.81,0.0,307.19
Art & Sculpture,5,312.0,-5.0,0.0,307.0
Basket,5,307.0,0.0,0.0,307.0
Art & Sculpture,7,315.0,-9.5,0.0,305.5
Basket,3,348.0,-46.4,0.0,301.6
Art & Sculpture,2,300.0,0.0,0.0,300.0
Basket,8,348.0,-11.41,-38.0,298.59
Basket,3,298.0,0.0,0.0,298.0
Jewelry,11,308.0,-11.21,0.0,296.79
Art & Sculpture,2,296.0,0.0,0.0,296.0
Jewelry,6,300.0,-4.4,0.0,295.6
Kitchen,29,307.5,-14.16,0.0,293.34
Basket,3,304.0,-11.0,0.0,293.0
Jewelry,21,378.0,-2.8,-84.0,291.2
Art & Sculpture,5,290.0,0.0,0.0,290.0
Textiles,8,342.0,-15.2,-38.0,288.8
Basket,3,288.0,0.0,0.0,288.0
Home Decor,2,288.0,0.0,0.0,288.0
Art & Sculpture,6,288.0,0.0,0.0,288.0
Christmas,16,306.0,-1.8,-18.0,286.2
Soapstone,8,285.0,0.0,0.0,285.0
Home Decor,5,320.0,-38.4,0.0,281.6
Home Decor,8,304.0,-22.8,0.0,281.2
Furniture,2,350.0,-70.0,0.0,280.0
Music,16,292.0,-12.2,0.0,279.8
Art & Sculpture,3,302.0,-23.4,0.0,278.6
Jewelry,6,288.0,-9.6,0.0,278.4
Art & Sculpture,6,288.0,-9.61,0.0,278.39
Christmas,13,286.0,-8.8,0.0,277.2
Jewelry,6,288.0,-12.0,0.0,276.0
Basket,6,280.0,-6.32,0.0,273.68
Home Decor,2,288.0,-14.39,0.0,273.61
Art & Sculpture,8,288.0,-14.4,0.0,273.6
Home Decor,4,286.0,-13.6,0.0,272.4
Art & Sculpture,4,272.0,0.0,0.0,272.0
Basket,2,272.0,0.0,0.0,272.0
Art & Sculpture,6,276.0,-4.8,0.0,271.2
Christmas,15,270.0,0.0,0.0,270.0
Home Decor,2,270.0,0.0,0.0,270.0
Jewelry,10,280.0,-10.44,0.0,269.56
Art & Sculpture,15,278.0,-8.71,0.0,269.29
Art & Sculpture,7,272.0,-3.52,0.0,268.48
Christmas,15,288.0,-3.6,-18.0,266.4
Home Decor,4,272.0,-6.79,0.0,265.21
Home Decor,4,272.0,-6.8,0.0,265.2
Christmas,15,270.0,-5.41,0.0,264.59
Kids,12,264.0,0.0,0.0,264.0
Home Decor,3,264.0,0.0,0.0,264.0
Fair Trade Gifts,22,264.0,0.0,0.0,264.0
Kitchen,2,264.0,0.0,0.0,264.0
Basket,1,288.0,-28.8,0.0,259.2
Recycled Art,9,262.0,-3.0,0.0,259.0
Music,4,256.0,0.0,0.0,256.0
Basket,6,264.0,-8.8,0.0,255.2
Jewelry,7,270.0,-15.21,0.0,254.79
Basket,6,252.0,0.0,0.0,252.0
Basket,6,267.0,-15.31,0.0,251.69
Home Decor,4,272.0,-20.4,0.0,251.6
Home Decor,7,304.0,-15.2,-38.0,250.8
Home Decor,4,248.0,0.0,0.0,248.0
Furniture,1,275.0,-27.5,0.0,247.5
Recycled Art,1,245.0,0.0,0.0,245.0
Art & Sculpture,2,244.0,0.0,0.0,244.0
Jewelry,6,252.0,-8.41,0.0,243.59
Skin Care,13,240.5,0.0,0.0,240.5
Music,13,280.0,-21.99,-18.01,240.0
Basket,1,240.0,0.0,0.0,240.0
Basket,1,240.0,0.0,0.0,240.0
Basket,1,240.0,0.0,0.0,240.0
Art & Sculpture,5,240.0,0.0,0.0,240.0
Basket,8,274.0,0.0,-34.0,240.0
Art & Sculpture,1,240.0,0.0,0.0,240.0
Basket,1,240.0,0.0,0.0,240.0
Jewelry,8,244.0,-5.1,0.0,238.9
Home Decor,2,249.0,-12.5,0.0,236.5
Kitchen,4,252.0,-15.6,0.0,236.4
Christmas,13,234.0,0.0,0.0,234.0
Basket,2,232.0,0.0,0.0,232.0
Basket,2,232.0,0.0,0.0,232.0
Basket,2,348.0,-11.6,-104.4,232.0
Jewelry,5,240.0,-9.6,0.0,230.4
Basket,2,230.0,0.0,0.0,230.0
Christmas,9,252.0,-22.4,0.0,229.6
Skin Care,6,228.0,0.0,0.0,228.0
Basket,5,272.0,-5.12,-38.88,228.0
Christmas,4,232.0,-5.8,0.0,226.2
Basket,6,268.0,-4.0,-38.0,226.0
Basket,5,240.0,-14.6,0.0,225.4
Basket,4,245.0,-19.69,0.0,225.31
Art & Sculpture,1,225.0,0.0,0.0,225.0
Art & Sculpture,1,225.0,0.0,0.0,225.0
Basket,6,228.0,-3.4,0.0,224.6
Basket,6,266.0,-3.8,-38.0,224.2
Kitchen,19,228.0,-5.79,0.0,222.21
Art & Sculpture,3,222.0,0.0,0.0,222.0
Basket,4,232.0,-10.6,0.0,221.4
Basket,2,232.0,-11.6,0.0,220.4
Basket,2,220.0,0.0,0.0,220.0
Basket,2,220.0,0.0,0.0,220.0
Basket,2,220.0,0.0,0.0,220.0
Basket,2,220.0,0.0,0.0,220.0
Basket,2,220.0,0.0,0.0,220.0
Basket,2,220.0,0.0,0.0,220.0
Basket,1,240.0,-24.0,0.0,216.0
Basket,1,240.0,-24.0,0.0,216.0
Basket,1,240.0,-24.0,0.0,216.0
Basket,1,240.0,-24.0,0.0,216.0
Christmas,8,224.0,-8.41,0.0,215.59
Home Decor,3,234.0,-19.5,0.0,214.5
Christmas,12,216.0,-1.8,0.0,214.2
Home Decor,6,228.0,-15.19,0.0,212.81
Basket,5,220.0,-8.8,0.0,211.2
Art & Sculpture,1,210.0,0.0,0.0,210.0
Art & Sculpture,8,224.0,-14.0,0.0,210.0
Basket,1,210.0,0.0,0.0,210.0
Basket,2,220.0,-11.0,0.0,209.0
Basket,2,220.0,-11.0,0.0,209.0
Basket,2,220.0,-11.0,0.0,209.0
Basket,2,220.0,-11.0,0.0,209.0
Basket,2,232.0,-23.2,0.0,208.8
Art & Sculpture,12,216.0,-8.4,0.0,207.6
Soapstone,8,224.0,-19.6,0.0,204.4
Kitchen,6,204.0,0.0,0.0,204.0
Jewelry,3,204.0,0.0,0.0,204.0
Basket,3,204.0,0.0,0.0,204.0
Basket,3,204.0,0.0,0.0,204.0
Jewelry,6,204.0,0.0,0.0,204.0
Jewelry,3,204.0,0.0,0.0,204.0
Basket,6,204.0,0.0,0.0,204.0
Basket,3,204.0,0.0,0.0,204.0
Kitchen,20,220.5,-16.92,0.0,203.58
Art & Sculpture,4,312.0,-5.2,-104.0,202.8
Art & Sculpture,6,216.0,-14.4,0.0,201.6
One-of-a-Kind,1,200.0,0.0,0.0,200.0
One-of-a-Kind,1,200.0,0.0,0.0,200.0
One-of-a-Kind,1,200.0,0.0,0.0,200.0
Basket,4,204.0,-5.8,0.0,198.2
Home Decor,2,208.0,-9.8,0.0,198.2
Basket,2,220.0,-22.0,0.0,198.0
Basket,1,220.0,-22.0,0.0,198.0
Art & Sculpture,9,198.0,0.0,0.0,198.0
Accessories,3,204.0,-6.8,0.0,197.2
Accessories,2,196.0,0.0,0.0,196.0
Art & Sculpture,7,196.0,0.0,0.0,196.0
Accessories,2,196.0,0.0,0.0,196.0
Home Decor,4,196.0,0.0,0.0,196.0
Accessories,2,196.0,0.0,0.0,196.0
Jewelry,6,202.0,-6.6,0.0,195.4
Basket,1,195.0,0.0,0.0,195.0
Art & Sculpture,3,195.0,0.0,0.0,195.0
Basket,1,195.0,0.0,0.0,195.0
Basket,1,390.0,0.0,-195.0,195.0
Basket,1,195.0,0.0,0.0,195.0
Basket,4,208.0,-13.01,0.0,194.99
Recycled Art,8,200.0,-5.01,0.0,194.99
Jewelry,5,202.0,-7.6,0.0,194.4
Soapstone,7,193.0,0.0,0.0,193.0
Art & Sculpture,3,192.0,0.0,0.0,192.0
Home Decor,5,204.0,-12.1,0.0,191.9
Kids,6,204.0,-13.4,0.0,190.6
Basket,3,204.0,-13.6,0.0,190.4
Home Decor,2,190.0,0.0,0.0,190.0
Basket,2,190.0,0.0,0.0,190.0
Basket,4,194.0,-4.4,0.0,189.6
Basket,4,194.0,-5.0,0.0,189.0
Recycled Art,6,192.0,-3.2,0.0,188.8
Basket,1,564.0,0.0,-376.0,188.0
Basket,4,188.0,0.0,0.0,188.0
Basket,7,196.0,-8.39,0.0,187.61
Basket,6,194.0,-6.41,0.0,187.59
Basket,4,192.0,-4.8,0.0,187.2
Basket,4,192.0,-4.8,0.0,187.2
Home Decor,8,192.0,-4.8,0.0,187.2
Accessories,2,196.0,-9.79,0.0,186.21
Soapstone,5,190.0,-3.8,0.0,186.2
Accessories,2,196.0,-9.81,0.0,186.19
Art & Sculpture,12,192.0,-6.42,0.0,185.58
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Art & Sculpture,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Art & Sculpture,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Home Decor,1,185.0,0.0,0.0,185.0
Basket,1,185.0,0.0,0.0,185.0
Basket,1,205.0,-20.5,0.0,184.5
Art & Sculpture,3,204.0,-20.4,0.0,183.6
Music,9,186.0,-2.4,0.0,183.6
Jewelry,8,192.0,-9.59,0.0,182.41
Home Decor,5,190.0,-7.6,0.0,182.4
Home Decor,5,228.0,-7.6,-38.0,182.4
Basket,4,182.0,0.0,0.0,182.0
Soapstone,7,183.0,-2.1,0.0,180.9
Furniture,2,190.0,-9.49,0.0,180.51
Recycled Art,12,180.0,0.0,0.0,180.0
Basket,4,184.0,-4.6,0.0,179.4
Jewelry,7,196.0,-16.79,0.0,179.21
Basket,2,188.0,-9.4,0.0,178.6
Art & Sculpture,1,198.0,-19.8,0.0,178.2
Kids,5,178.0,0.0,0.0,178.0
Jewelry,13,238.0,-4.21,-56.0,177.79
Jewelry,4,192.0,-14.39,0.0,177.61
Art & Sculpture,5,180.0,-3.6,0.0,176.4
Art & Sculpture,10,180.0,-3.62,0.0,176.38
Jewelry,2,176.0,0.0,0.0,176.0
Art & Sculpture,4,176.0,0.0,0.0,176.0
Art & Sculpture,4,180.0,-4.5,0.0,175.5
Basket,1,195.0,-19.5,0.0,175.5
Art & Sculpture,1,195.0,-19.5,0.0,175.5
Jewelry,4,180.0,-4.6,0.0,175.4
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
One-of-a-Kind,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Basket,1,175.0,0.0,0.0,175.0
Christmas,10,180.0,-5.4,0.0,174.6
Home Decor,3,179.2,-5.12,0.0,174.08
Music,3,174.0,0.0,0.0,174.0
Basket,3,174.0,0.0,0.0,174.0
Jewelry,3,174.0,0.0,0.0,174.0
Basket,3,174.0,0.0,0.0,174.0
Home Decor,3,186.0,-12.4,0.0,173.6
Art & Sculpture,5,180.0,-7.2,0.0,172.8
Art & Sculpture,3,184.0,-11.6,0.0,172.4
Art & Sculpture,4,172.0,0.0,0.0,172.0
Art & Sculpture,8,176.0,-4.4,0.0,171.6
Home Decor,4,176.0,-4.4,0.0,171.6
Basket,4,176.0,-4.4,0.0,171.6
Kitchen,16,172.5,-1.05,0.0,171.45
Basket,5,170.0,0.0,0.0,170.0
Christmas,5,170.0,0.0,0.0,170.0
Kitchen,15,171.0,-1.05,0.0,169.95
Jewelry,8,176.0,-6.6,0.0,169.4
Kitchen,16,175.5,-7.12,0.0,168.38
Home Decor,3,174.0,-5.8,0.0,168.2
Furniture,3,174.0,-5.8,0.0,168.2
Accessories,3,174.0,-5.81,0.0,168.19
Basket,4,168.0,0.0,0.0,168.0
Soapstone,7,168.0,0.0,0.0,168.0
Art & Sculpture,4,168.0,0.0,0.0,168.0
Art & Sculpture,4,182.0,-14.4,0.0,167.6
Kitchen,14,172.0,-4.8,0.0,167.2
Kids,5,170.0,-3.4,0.0,166.6
Home Decor,4,166.6,0.0,0.0,166.6
Basket,1,185.0,-18.5,0.0,166.5
Basket,1,185.0,-18.5,0.0,166.5
Basket,1,185.0,-18.5,0.0,166.5
Basket,1,185.0,-18.5,0.0,166.5
Basket,1,185.0,-18.5,0.0,166.5
Basket,1,185.0,-18.5,0.0,166.5
Basket,1,185.0,-18.5,0.0,166.5
Basket,1,185.0,-18.5,0.0,166.5
Basket,1,185.0,-18.5,0.0,166.5
Basket,1,185.0,-18.5,0.0,166.5
Basket,1,185.0,-18.5,0.0,166.5
Basket,1,185.0,-18.5,0.0,166.5
Art & Sculpture,4,166.0,0.0,0.0,166.0
Basket,2,182.0,-16.23,0.0,165.77
Art & Sculpture,1,165.0,0.0,0.0,165.0
Basket,1,165.0,0.0,0.0,165.0
Basket,1,165.0,0.0,0.0,165.0
One-of-a-Kind,1,165.0,0.0,0.0,165.0
Basket,1,165.0,0.0,0.0,165.0
Basket,5,206.0,-7.2,-34.0,164.8
Basket,3,164.0,0.0,0.0,164.0
Textiles,8,164.0,0.0,0.0,164.0
Art & Sculpture,2,163.0,0.0,0.0,163.0
Art & Sculpture,6,162.0,0.0,0.0,162.0
Art & Sculpture,3,162.0,0.0,0.0,162.0
Basket,10,160.0,0.0,0.0,160.0
Basket,3,160.0,0.0,0.0,160.0
Home Decor,2,160.0,0.0,0.0,160.0
Basket,3,171.0,-11.3,0.0,159.7
Christmas,6,168.0,-8.4,0.0,159.6
Basket,6,170.0,-11.6,0.0,158.4
Basket,3,163.0,-4.8,0.0,158.2
,1,158.0,0.0,0.0,158.0
Basket,5,172.0,-14.0,0.0,158.0
Basket,1,175.0,-17.49,0.0,157.51
Basket,1,175.0,-17.5,0.0,157.5
Basket,1,175.0,-17.5,0.0,157.5
Basket,1,175.0,-17.5,0.0,157.5
Basket,1,175.0,-17.5,0.0,157.5
Basket,1,175.0,-17.5,0.0,157.5
Basket,1,175.0,-17.5,0.0,157.5
Art & Sculpture,4,157.0,0.0,0.0,157.0
Basket,1,174.0,-17.4,0.0,156.6
Home Decor,3,162.0,-5.4,0.0,156.6
Basket,3,174.0,-17.4,0.0,156.6
Jewelry,2,156.0,0.0,0.0,156.0
Home Decor,3,180.0,-24.0,0.0,156.0
Kitchen,13,156.0,0.0,0.0,156.0
